,City,Latitude,Longitude,HotelName
0,Rikitea,-23.12,-134.97,Pension Maro'i
1,Inhambane,-23.86,35.38,Lobster Chalets
2,Carnarvon,-24.87,113.63,Hospitality Carnarvon
3,Vaini,-21.2,-175.2,Little Italy Hotel
5,Vao,-22.67,167.48,Le Méridien Ile des Pins
6,Yulara,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
7,Coquimbo,-29.95,-71.34,Hotel y Cabañas Mar De Ensueño
8,Basco,20.45,121.97,Nathaniel's Lodge
9,Samarai,-10.62,150.67,Tawali Resort
10,Gizo,-8.1,156.84,Imagination Island
11,Coahuayana Viejo,18.73,-103.68,Pacos Hotel
12,Labuhan,-6.88,112.21,Hotel Mustika
13,Richards Bay,-28.78,32.04,Imvubu Lodge
14,Salalah,17.02,54.09,Hilton Salalah Resort
15,Sola,-13.88,167.55,Leumerus Bungalows
16,Kupang,-10.17,123.58,Hotel On The Rock by Prasanthi
18,Mariel,22.99,-82.75,Starfish Montehabana
19,Illela,13.73,5.3,GUEST HOUSE SAKOLA
20,Pontianak,-0.03,109.33,Aston Pontianak Hotel & Convention Center
21,Hervey Bay,-25.3,152.85,Shelly Bay Resort
22,Sao Sebastiao,-23.76,-45.41,DPNY Beach Hotel e Spa
